date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:31:16	88968/88968	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Nov%202022%2016:01:16%20GMT	https://www.britannica.com/technology/commercial-fishing/Types-of-fishery	C:/My%20Web%20Sites/bitm32/www.britannica.com/technology/commercial-fishing/Types-of-fishery.html	(from )
21:31:17	134/134	---MCZ	200	added ('OK')	text/plain	etag:W/%228f-5c973a2f5e800%22	https://www.britannica.com/robots.txt		(from )
21:31:17	209177/209177	---MCZ	200	added ('OK')	text/css	etag:W/%22762edbe4f58bd96b3bad246c19380f2b%22	https://cdn.britannica.com/mendel-resources/3-77/dist/vendor-bundle.css?v=3.77.4	C:/My%20Web%20Sites/bitm32/cdn.britannica.com/mendel-resources/3-77/dist/vendor-bundle22ab.css	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:18	107548/107548	---MCZ	200	added ('OK')	text/css	etag:W/%2206836411d85effc1629eb549e8dbb44d%22	https://cdn.britannica.com/mendel-resources/3-77/dist/mendel-css.css?v=3.77.4	C:/My%20Web%20Sites/bitm32/cdn.britannica.com/mendel-resources/3-77/dist/mendel-css22ab.css	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:18	1505/1505	---MCZ	200	added ('OK')	text/css	etag:W/%22b83d5f67c07f495ac9bb88c8aeac9efa%22	https://cdn.britannica.com/mendel-resources/3-77/dist/topic-page.css?v=3.77.4	C:/My%20Web%20Sites/bitm32/cdn.britannica.com/mendel-resources/3-77/dist/topic-page22ab.css	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:19	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2005%20Nov%202022%2016:01:19%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/bitm32/www.googletagmanager.com/gtm.55445.delayed	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:19	309253/309253	---MC-	200	added ('OK')	application/javascript	date:Sat,%2005%20Nov%202022%2016:01:19%20GMT	https://www.googleoptimize.com/optimize.js?id=OPT-TD96PKG	C:/My%20Web%20Sites/bitm32/www.googleoptimize.com/optimize3ea8.js	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:20	2764/2764	---M-Z	200	added ('OK')	image/png	date:Sat,%2005%20Nov%202022%2016:01:20%20GMT	https://cdn.britannica.com/mendel/eb-logo/MendelNewThistleLogo.png	C:/My%20Web%20Sites/bitm32/cdn.britannica.com/mendel/eb-logo/MendelNewThistleLogo.png	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:21	86247/86247	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Nov%202022%2016:01:21%20GMT	https://www.britannica.com/technology/commercial-fishing/History-of-commercial-fishing	C:/My%20Web%20Sites/bitm32/www.britannica.com/technology/commercial-fishing/History-of-commercial-fishing.html	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:21	77638/77638	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Nov%202022%2016:01:21%20GMT	https://www.britannica.com/technology/commercial-fishing/Fishery-equipment-and-facilities	C:/My%20Web%20Sites/bitm32/www.britannica.com/technology/commercial-fishing/Fishery-equipment-and-facilities.html	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:21	79252/79252	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Nov%202022%2016:01:21%20GMT	https://www.britannica.com/technology/commercial-fishing/Drive-in-and-lift-nets	C:/My%20Web%20Sites/bitm32/www.britannica.com/technology/commercial-fishing/Drive-in-and-lift-nets.html	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:22	77808/77808	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Nov%202022%2016:01:22%20GMT	https://www.britannica.com/technology/commercial-fishing/Beam-or-outrigger-trawlers	C:/My%20Web%20Sites/bitm32/www.britannica.com/technology/commercial-fishing/Beam-or-outrigger-trawlers.html	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:22	78831/78831	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Nov%202022%2016:01:22%20GMT	https://www.britannica.com/technology/commercial-fishing/Liners	C:/My%20Web%20Sites/bitm32/www.britannica.com/technology/commercial-fishing/Liners.html	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:22	79211/79211	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Nov%202022%2016:01:22%20GMT	https://www.britannica.com/technology/commercial-fishing/Shellfish	C:/My%20Web%20Sites/bitm32/www.britannica.com/technology/commercial-fishing/Shellfish.html	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:23	75228/75228	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Nov%202022%2016:01:23%20GMT	https://www.britannica.com/technology/commercial-fishing/Fish-finding	C:/My%20Web%20Sites/bitm32/www.britannica.com/technology/commercial-fishing/Fish-finding.html	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:23	75033/75033	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Nov%202022%2016:01:23%20GMT	https://www.britannica.com/technology/commercial-fishing/Sea-fishing-methods	C:/My%20Web%20Sites/bitm32/www.britannica.com/technology/commercial-fishing/Sea-fishing-methods.html	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:24	78801/78801	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Nov%202022%2016:01:23%20GMT	https://www.britannica.com/technology/commercial-fishing/Bottom-longlines	C:/My%20Web%20Sites/bitm32/www.britannica.com/technology/commercial-fishing/Bottom-longlines.html	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:24	74758/74758	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Nov%202022%2016:01:24%20GMT	https://www.britannica.com/technology/commercial-fishing/Seine-nets	C:/My%20Web%20Sites/bitm32/www.britannica.com/technology/commercial-fishing/Seine-nets.html	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:24	80347/80347	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Nov%202022%2016:01:24%20GMT	https://www.britannica.com/technology/commercial-fishing/Entangling-nets	C:/My%20Web%20Sites/bitm32/www.britannica.com/technology/commercial-fishing/Entangling-nets.html	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:24	75693/75693	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Nov%202022%2016:01:24%20GMT	https://www.britannica.com/technology/commercial-fishing/Methods	C:/My%20Web%20Sites/bitm32/www.britannica.com/technology/commercial-fishing/Methods.html	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:25	100180/100180	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Nov%202022%2016:01:25%20GMT	https://www.britannica.com/technology/commercial-fishing/images-videos	C:/My%20Web%20Sites/bitm32/www.britannica.com/technology/commercial-fishing/images-videos.html	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:25	100557/100557	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Nov%202022%2016:01:25%20GMT	https://www.britannica.com/technology/commercial-fishing/additional-info	C:/My%20Web%20Sites/bitm32/www.britannica.com/technology/commercial-fishing/additional-info.html	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:26	159765/159765	---M-Z	200	added ('OK')	image/jpeg	date:Sat,%2005%20Nov%202022%2016:01:26%20GMT	https://cdn.britannica.com/60/88660-050-ED2B7DBC/Haddock.jpg	C:/My%20Web%20Sites/bitm32/cdn.britannica.com/60/88660-050-ED2B7DBC/Haddock.jpg	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:28	43881/43881	---M-Z	200	added ('OK')	image/jpeg	date:Sat,%2005%20Nov%202022%2016:01:27%20GMT	https://cdn.britannica.com/60/88660-050-ED2B7DBC/Haddock.jpg?w=690&h=388&c=crop	C:/My%20Web%20Sites/bitm32/cdn.britannica.com/60/88660-050-ED2B7DBC/Haddock0442.jpg	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:29	141133/141133	---M-Z	200	added ('OK')	image/jpeg	date:Sat,%2005%20Nov%202022%2016:01:28%20GMT	https://cdn.britannica.com/64/88664-050-90BE16E7/Atlantic-halibut.jpg	C:/My%20Web%20Sites/bitm32/cdn.britannica.com/64/88664-050-90BE16E7/Atlantic-halibut.jpg	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:30	36836/36836	---M-Z	200	added ('OK')	image/jpeg	date:Sat,%2005%20Nov%202022%2016:01:30%20GMT	https://cdn.britannica.com/64/88664-050-90BE16E7/Atlantic-halibut.jpg?w=690&h=388&c=crop	C:/My%20Web%20Sites/bitm32/cdn.britannica.com/64/88664-050-90BE16E7/Atlantic-halibut0442.jpg	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:31	151208/151208	---M-Z	200	added ('OK')	image/jpeg	date:Sat,%2005%20Nov%202022%2016:01:31%20GMT	https://cdn.britannica.com/47/88747-050-A53D50CB/Jack-mackerel.jpg	C:/My%20Web%20Sites/bitm32/cdn.britannica.com/47/88747-050-A53D50CB/Jack-mackerel.jpg	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
21:31:32	43326/43326	---M-Z	200	added ('OK')	image/jpeg	date:Sat,%2005%20Nov%202022%2016:01:32%20GMT	https://cdn.britannica.com/47/88747-050-A53D50CB/Jack-mackerel.jpg?w=690&h=388&c=crop	C:/My%20Web%20Sites/bitm32/cdn.britannica.com/47/88747-050-A53D50CB/Jack-mackerel0442.jpg	(from https://www.britannica.com/technology/commercial-fishing/Types-of-fishery)
